businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear
,成都,成都市映潮科技股份有限公司,映潮科技,50-150人,2018/5/17 19:23,高新区,本科,数据服务,"['电商', '机器学习', '大数据', '数据挖掘', '算法']",全职,4289973,10k-15k,1-3年
,成都,深圳普惠快捷金融服务有限公司,优亿金融,2000人以上,2018/5/18 10:20,高新区,本科,"金融,其他","['医疗健康', 'BI', '大数据', '数据挖掘', '建模']",全职,4403371,7k-14k,不限
['九里堤'],成都,四川阿衣科技有限公司,阿衣科技,50-150人,2018/5/21 11:33,金牛区,大专,移动互联网、数据服务,[],全职,4599301,5K-7K,应届毕业生
"['春熙路', '春熙路', '红星路', '三圣', '红星路', '三圣']",成都,昊盈信息技术（成都）有限公司,NEXA,150-500人,2018/5/22 8:59,锦江区,本科,"移动互联网,游戏",[],全职,3735226,10k-20k,5-10年
"['四川大学', '科华北路', '磨子桥']",成都,成都京东世纪贸易有限公司,京东成都,2000人以上,2018/5/9 17:16,武侯区,本科,电子商务,[],全职,4545344,5k-8k,3-5年
,成都,成都蚂蚁物流有限公司,蚂蚁物流,2000人以上,2018/5/23 9:02,高新区,本科,其他,[],全职,2737545,3k-5k,不限
,成都,成都火影商务信息咨询有限公司,火影有限公司,50-150人,2018/5/17 14:05,高新区,大专,"移动互联网,电子商务",[],全职,3948009,3k-4k,应届毕业生
,成都,成都睿码科技有限责任公司,Remark Holdings,150-500人,2018/5/14 15:43,高新区,本科,"移动互联网,数据服务","['金融', '电商', '高级', '大数据', '数据挖掘']",全职,4323920,10k-20k,3-5年
,成都,马上消费金融股份有限公司,马上金融,2000人以上,2018/5/2 11:56,高新区,本科,"金融,移动互联网",[],全职,4505366,15k-30k,3-5年
"['玉林', '小天竺', '跳伞塔']",成都,广东鸿特普惠信息服务有限公司,鸿特普惠,2000人以上,2018/5/23 9:36,武侯区,本科,金融,"['金融', 'BI', '数据管理']",全职,3957169,4k-6k,1-3年
,成都,昊盈信息技术（成都）有限公司,NEXA,150-500人,2018/5/22 8:59,,本科,"移动互联网,游戏",[],全职,1845914,8k-15k,1-3年
